"SOLICITUDORIGINAL";"N_ORDEN_DISTRIBU";"SOLICITUD";"FECHA_CREACION_ORDEN";"ORIGEN";"CANCELADO"
"111154156";"118602012";111154156;"16-04-2017 21:01:05";"24440";"No Cancelado"
"111154518";"118602070";111154518;"16-04-2017 22:00:22";"24440";"No Cancelado"
"111153978";"118602088";111153978;"16-04-2017 22:00:23";"24374";"No Cancelado"
"111154524";"118602095";111154524;"16-04-2017 22:00:23";"24440";"No Cancelado"
"111154297";"118602128";111154297;"16-04-2017 22:00:24";"24374";"No Cancelado"
"111153333";"118602165";111153333;"16-04-2017 22:00:25";"24440";"No Cancelado"
"111151070";"118600396";111151070;"16-04-2017 08:00:20";"32480";"No Cancelado"
"111153558";"118602171";111153558;"16-04-2017 22:00:25";"21367";"No Cancelado"
"111154635";"118602227";111154635;"16-04-2017 23:00:17";"24374";"No Cancelado"
"111151592";"118600527";111151592;"16-04-2017 12:00:18";"32644";"No Cancelado"
"111151491";"118600533";111151491;"16-04-2017 12:00:18";"21588";"No Cancelado"
"111151425";"118600532";111151425;"16-04-2017 12:00:18";"24374";"No Cancelado"
"111152962";"118601353";111152962;"16-04-2017 18:00:25";"24440";"No Cancelado"
"111151896";"118600676";111151896;"16-04-2017 13:00:47";"24549";"No Cancelado"
"111151759";"118600681";111151759;"16-04-2017 13:00:47";"24374";"No Cancelado"
"111151718";"118600685";111151718;"16-04-2017 13:00:47";"24934";"No Cancelado"
"111153088";"118601355";111153088;"16-04-2017 18:00:25";"24374";"No Cancelado"
"111150812";"118600399";111150812;"16-04-2017 08:00:20";"34803";"No Cancelado"
"111153562";"118601482";111153562;"16-04-2017 19:00:36";"24440";"No Cancelado"
"111153710";"118601495";111153710;"16-04-2017 19:00:36";"24145";"No Cancelado"
"111153407";"118601384";111153407;"16-04-2017 18:00:25";"24145";"No Cancelado"
"111151211";"118600390";111151211;"16-04-2017 08:00:20";"24374";"No Cancelado"
"111153564";"118601494";111153564;"16-04-2017 19:00:36";"32681";"No Cancelado"
"111153737";"118601506";111153737;"16-04-2017 19:00:36";"24549";"No Cancelado"
"111154240";"118602092";111154240;"16-04-2017 22:00:23";"24374";"No Cancelado"
"111152328";"118600873";111152328;"16-04-2017 16:00:19";"24934";"No Cancelado"
"111153759";"118602127";111153759;"16-04-2017 22:00:24";"22593";"No Cancelado"
"111151119";"118600394";111151119;"16-04-2017 08:00:20";"32354";"No Cancelado"
"111152559";"118600878";111152559;"16-04-2017 16:00:19";"32484";"No Cancelado"
"111151898";"118600940";111151898;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111152938";"118600953";111152938;"16-04-2017 17:00:20";"24374";"No Cancelado"
"111151692";"118600975";111151692;"16-04-2017 17:00:21";"24440";"No Cancelado"
"111152209";"118600979";111152209;"16-04-2017 17:00:21";"24440";"No Cancelado"
"111152341";"118600992";111152341;"16-04-2017 17:00:22";"24374";"No Cancelado"
"111152493";"118601010";111152493;"16-04-2017 17:00:23";"32446";"No Cancelado"
